acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,nheads,n_levels,attn_dropout,embed_dropout
71.46,68.38,68.77,68.95,0.6898,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-06-30-15,2e-05,0.3,8,5,0.1,0.2
71.46,66.64,67.45,66.92,0.6889,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-07-13-30,2.9999999999999997e-05,0.6,8,5,0.1,0.2
71.46,67.87,68.1,68.89,0.6849,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-09-05-26,3e-05,0.4,8,5,0.1,0.2
71.46,66.4,66.13,67.57,0.7057,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-20-10-02-47,2e-05,0.6,8,5,0.1,0.2
71.24,65.0,66.11,65.66,0.6924,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-02-32-28,4e-05,0.45,8,5,0.1,0.2
71.24,67.73,68.05,68.72,0.6898,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-03-28-03,2e-05,0.3,8,5,0.1,0.2
71.24,66.48,65.89,67.83,0.701,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-03-54-08,1e-05,0.6,8,5,0.1,0.2
71.24,66.45,67.59,67.43,0.6928,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-04-02-02,2e-05,0.6,8,5,0.1,0.2
71.24,66.85,67.63,67.28,0.7079,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-04-33-35,1e-05,0.5,8,5,0.1,0.2
71.24,67.52,67.92,68.03,0.6946,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-05-55-12,2e-05,0.4,8,5,0.1,0.2
71.24,66.5,67.34,67.32,0.6795,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-08-43-08,5e-05,0.45,8,5,0.1,0.2
71.24,67.87,68.51,68.25,0.7029,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-20-10-40-52,2e-05,0.5,8,5,0.1,0.2
71.24,66.4,66.49,67.25,0.7133,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-20-11-48-52,1e-05,0.4,8,5,0.1,0.2
71.01,64.37,67.55,64.16,0.7014,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-02-27-29,2.9999999999999997e-05,0.45,8,5,0.1,0.2
71.01,66.96,66.63,68.09,0.7126,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-02-42-18,1e-05,0.4,8,5,0.1,0.2
71.01,67.07,67.39,68.52,0.6918,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-05-07-01,5e-05,0.5,8,5,0.1,0.2
71.01,65.57,66.28,65.58,0.7063,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-05-28-36,3e-05,0.45,8,5,0.1,0.2
71.01,65.78,66.27,66.14,0.6872,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-06-58-22,1e-05,0.6,8,5,0.1,0.2
71.01,66.67,67.15,67.7,0.6807,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-08-36-05,4e-05,0.45,8,5,0.1,0.2
70.79,65.49,65.32,68.1,0.6857,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-01-28-09,4e-05,0.6,8,5,0.1,0.2
70.79,66.83,66.85,67.43,0.7185,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-03-18-34,1e-05,0.3,8,5,0.1,0.2
70.79,67.59,67.43,69.25,0.7028,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-03-36-38,2.9999999999999997e-05,0.3,8,5,0.1,0.2
70.79,67.12,66.96,68.06,0.6755,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-04-25-46,5e-05,0.6,8,5,0.1,0.2
70.79,66.01,65.84,68.14,0.6794,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-07-23-00,4e-05,0.6,8,5,0.1,0.2
70.79,67.41,67.77,67.94,0.688,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-07-52-31,3e-05,0.5,8,5,0.1,0.2
70.79,67.29,67.71,67.57,0.6983,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-08-47-47,1e-05,0.4,8,5,0.1,0.2
70.79,66.49,67.16,66.93,0.7065,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-20-11-11-44,1e-05,0.45,8,5,0.1,0.2
70.56,64.73,67.18,64.52,0.6766,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-01-33-35,5e-05,0.6,8,5,0.1,0.2
70.56,66.1,66.56,66.44,0.7006,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-06-19-23,1e-05,0.3,8,5,0.1,0.2
70.56,67.34,67.5,67.88,0.7018,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-06-46-06,4e-05,0.3,8,5,0.1,0.2
70.56,67.81,68.67,68.55,0.7148,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-09-28-14,2e-05,0.3,8,5,0.1,0.2
70.56,66.78,67.21,67.78,0.6901,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-09-36-40,2.9999999999999997e-05,0.3,8,5,0.1,0.2
70.34,64.23,64.26,64.88,0.6971,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-05-47-49,1e-05,0.4,8,5,0.1,0.2
70.11,66.42,67.21,66.86,0.6878,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-03-47-07,5e-05,0.3,8,5,0.1,0.2
70.11,65.09,69.16,65.28,0.7137,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-05-12-24,1e-05,0.45,8,5,0.1,0.2
70.11,65.08,66.54,64.75,0.7038,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-06-37-56,3e-05,0.3,8,5,0.1,0.2
69.89,64.81,64.23,66.62,0.6891,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-06-14-21,5e-05,0.4,8,5,0.1,0.2
69.89,65.99,65.98,66.99,0.7088,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-09-20-19,1e-05,0.3,8,5,0.1,0.2
69.44,66.6,67.16,67.68,0.6778,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-02-00-08,4e-05,0.5,8,5,0.1,0.2
69.44,64.47,64.78,65.26,0.6935,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-07-07-01,2e-05,0.6,8,5,0.1,0.2
69.44,66.4,69.24,66.57,0.6814,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-09-10-39,4e-05,0.4,8,5,0.1,0.2
68.99,65.85,67.64,66.94,0.6914,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-07-58-17,4e-05,0.5,8,5,0.1,0.2
68.76,65.16,67.7,64.64,0.6896,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-08-03-13,5e-05,0.5,8,5,0.1,0.2
68.76,63.36,64.98,63.77,0.695,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-20-10-19-03,4e-05,0.6,8,5,0.1,0.2
68.31,65.56,66.29,66.11,0.6738,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-02-06-20,5e-05,0.5,8,5,0.1,0.2
68.31,64.61,65.34,65.29,0.6883,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-06-02-08,2.9999999999999997e-05,0.4,8,5,0.1,0.2
68.09,65.62,66.97,65.66,0.6754,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-06-53-35,5e-05,0.3,8,5,0.1,0.2
67.19,61.51,61.27,62.76,0.6802,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-07-29-30,5e-05,0.6,8,5,0.1,0.2
67.19,64.23,63.39,66.51,0.6909,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-20-11-43-38,5e-05,0.45,8,5,0.1,0.2
