acc,f1,prec,rec,weighted_f1,weighted_prec,weighted_rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,weight_decay,num_experts,nheads,n_levels,attn_dropout,embed_dropout
70.79,67.3,68.62,67.1,70.78,71.79,70.79,0.726,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-12-58-26,2.5e-05,0.4,0.03,2,8,5,0.1,0.2
70.79,64.41,68.29,65.98,69.23,71.13,70.79,0.654,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-13-18-10,2e-05,0.6,0.03,1,8,5,0.1,0.2
70.79,66.1,66.26,66.98,70.37,70.74,70.79,0.7238,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-16-10-33,2.5e-05,0.6,0.03,2,8,5,0.1,0.2
70.56,65.5,65.67,66.87,70.08,70.78,70.56,0.6806,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-14-30-55,2.5e-05,0.5,0.03,1,8,5,0.1,0.2
70.34,66.63,66.57,67.84,70.19,71.05,70.34,0.6824,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-13-42-28,2.5e-05,0.6,0.03,1,8,5,0.1,0.2
70.11,67.26,69.28,67.3,69.83,71.05,70.11,0.7290000000000001,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-14-11-59,2e-05,0.5,0.03,2,8,5,0.1,0.2
69.89,66.34,67.56,67.3,69.84,71.4,69.89,0.7262,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-13-26-06,2e-05,0.6,0.03,3,8,5,0.1,0.2
69.44,66.7,67.38,67.52,69.1,70.12,69.44,0.7228,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-13-08-42,2.5e-05,0.4,0.03,4,8,5,0.1,0.2
69.44,64.62,65.07,67.27,68.11,68.9,69.44,0.6652,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-15-41-27,2e-05,0.6,0.03,1,8,5,0.1,0.2
68.76,64.98,64.9,65.85,68.63,69.22,68.76,0.6924,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-12-54-44,2.5e-05,0.4,0.03,1,8,5,0.1,0.2
68.54,65.48,65.44,66.45,68.47,69.19,68.54,0.7265,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-13-47-43,2.5e-05,0.6,0.03,2,8,5,0.1,0.2
68.09,64.84,66.78,64.03,67.6,68.14,68.09,0.695,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-14-53-28,2e-05,0.4,0.03,1,8,5,0.1,0.2
