acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,nheads,ffn,n_levels,attn_dropout,embed_dropout
53.71,49.59,49.96,51.1,0.496,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-25-08-32-58,2e-05,0.4,8,2048,5,0.1,0.2
47.19,43.29,44.05,43.88,0.4461,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-25-08-37-22,3e-05,0.4,8,2048,5,0.1,0.2
70.34,67.36,68.85,68.96,0.6925,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-25-08-49-25,2.5e-05,0.4,8,2048,5,0.1,0.2
72.58,68.89,70.35,68.79,0.6938,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-25-08-47-53,1e-05,0.4,8,2048,5,0.1,0.2
71.01,66.35,66.95,67.9,0.6864,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-25-08-56-56,1e-05,0.35,8,2048,5,0.1,0.2
71.46,68.45,69.32,68.23,0.6867,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-25-08-58-16,2e-05,0.4,8,2048,5,0.1,0.2
70.79,66.85,67.04,68.15,0.6966,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-25-08-57-05,2.9999999999999997e-05,0.4,8,2048,5,0.1,0.2
69.89,67.11,67.01,69.59,0.6762,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-25-09-08-12,2.5e-05,0.4,8,2048,5,0.1,0.2
71.46,68.26,68.0,69.6,0.7006,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-25-09-08-17,1e-05,0.35,8,2048,5,0.1,0.2
69.21,65.89,66.24,67.32,0.6864,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-25-09-15-35,3e-05,0.4,8,2048,5,0.1,0.2
52.58,48.71,51.91,48.68,0.4972,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-25-09-05-37,2e-05,0.35,8,2048,5,0.1,0.2
53.93,48.04,49.55,47.92,0.4857,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-25-09-20-33,2e-05,0.35,8,2048,5,0.1,0.2
70.56,66.64,67.15,67.23,0.6934,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-25-09-23-41,1e-05,0.35,8,2048,5,0.1,0.2
69.44,63.82,63.87,64.77,0.6931,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-25-09-33-52,2.5e-05,0.35,8,2048,5,0.1,0.2
51.01,47.87,52.23,47.74,0.501,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-25-09-25-27,2.5e-05,0.35,8,2048,5,0.1,0.2
72.13,68.77,70.22,68.66,0.6828,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-25-09-34-35,2e-05,0.35,8,2048,5,0.1,0.2
69.89,64.83,66.88,65.3,0.685,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-25-09-40-48,2.9999999999999997e-05,0.35,8,2048,5,0.1,0.2
71.91,67.81,68.11,68.12,0.6958,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-25-09-42-18,3e-05,0.35,8,2048,5,0.1,0.2
70.79,67.19,68.76,67.39,0.6769,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-25-09-45-49,2.5e-05,0.35,8,2048,5,0.1,0.2
69.89,67.43,68.87,67.45,0.6871,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-25-09-54-20,3e-05,0.35,8,2048,5,0.1,0.2
70.11,66.73,66.03,68.37,0.6881,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-25-09-47-28,1e-05,0.6,8,2048,5,0.1,0.2
57.53,50.81,52.3,51.61,0.5024,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-25-09-52-32,1e-05,0.6,8,2048,5,0.1,0.2
73.71,68.44,67.96,70.17,0.6863,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-25-10-04-07,1e-05,0.6,8,2048,5,0.1,0.2
16.18,3.59,2.5,6.72,0.0324,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-25-10-14-23,2e-05,0.6,8,2048,5,0.1,0.2
52.58,46.6,48.16,46.55,0.4581,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-25-10-05-15,2e-05,0.6,8,2048,5,0.1,0.2
69.66,65.01,64.46,67.4,0.6864,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-25-10-12-57,2e-05,0.6,8,2048,5,0.1,0.2
